QuestionText, QuestionType,Answer1,IsAnswer1Correct,Answer2,IsAnswer2Correct, Answer3,IsAnswer3Correct,Answer4,IsAnswer4Correct,Answer5,IsAnswer5Correct,Answer6,IsAnswer6Correct, Answer7,IsAnswer7Correct,Answer8,IsAnswer8Correct, Answer9,IsAnswer9Correct,Answer10,IsAnswer10Correct,ShowAnswerHint,CorrectToProceed,ShowFeedback
What must a client obtain before having the ability to purchase a lagoon permit?,MULTICHOICE,None of the above,FALSE,All of the above,TRUE,Approval from the police department if the vessel is larger than 21 feet,FALSE,Copy of the boat's registration,FALSE,Launch Permit (Except for Bristol Cove Residents),FALSE,,,,,,,,,,,FALSE,FALSE,
"When, in the calendar year, does the Annual Lagoon Permit become 50% off retail price?",MULTICHOICE,1-Jul,FALSE,1-Aug,FALSE,1-Sep,TRUE,1-Jun,FALSE,,,,,,,,,,,,,FALSE,FALSE,
"What must a patron do, in order to recieve a permit, if their registration expires after the start date?",MULTICHOICE,Renew their registration to cover the rest of the calendar year,TRUE,Nothing. Their permit is good for the calendar year regardless of registration date.,FALSE,Recieve a temp permit until their registration is renewed,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,
"In order to obtain a valid lagoon permit for a vessel registered in a different state, the owner must first visit the DMV to fill out the required documentation then recieve a temp permit from the City of Carlsbad - which expires in 60 days.",MULTICHOICE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,
Power vs. Passive - What's the clarification?,MULTICHOICE,Power is any vessel that has a motor whereas Passive is the opposite,TRUE,Power is any vessel without a motor whereas Passive is the opposite,FALSE,They are synomonous,FALSE,Power is a boat whereas Passive is a PWC (personal watercraft),FALSE,,,,,,,,,,,,,FALSE,FALSE,
Select all valid purchase locations of lagoon permits:,MULTICHOICE,Monroe Street Pool,TRUE,Alga Norte Aquatics Center,FALSE,Any City of Carlsbad Community Center,FALSE,Harding Community Center,FALSE,Senior Center,FALSE,At the Lagoon - Credit Card Only,TRUE,,,,,,,,,FALSE,FALSE,
"Once a patron purchases their first set of permits, they may only purchase one additional later in the year.",MULTICHOICE,True. Permits are counted as memberships.,FALSE,"True. Permits are counted as memberships. If a client wishes to purhcase more, the permit will be associated with a different CarlsbadConnect account.",TRUE,False. Permits are counted as memberships. Patrons can only purchase one set per calendar year.,FALSE,False.A client may purchase as many permits as they wish,FALSE,,,,,,,,,,,,,FALSE,FALSE,
Replacing an Annual Permit requires a $10 fee.,MULTICHOICE,TRUE,FALSE,False. It's a different price.,TRUE,False. It's Free,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,
A patron needs a lagoon permit for each vessel they own; even if it is of the same type.,MULTICHOICE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,
Lagoon Permits are sold as annual and daily options for both power and passive,MULTICHOICE,TRUE,FALSE,False - Currently just annual for power and annual/daily for passive,TRUE,False - Currently just annual/daily for power and annual for passive,FALSE,False - Not Shown,FALSE,,,,,,,,,,,,,FALSE,FALSE,
A daily passive permit may be purhcased through POS,MULTICHOICE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,
Select all items required for a power annual permit:,MULTICHOICE,Application Filled out by patron,TRUE,Current DMV registration,TRUE,Photo-copy of vessel registration,TRUE,CarlsbadConnect Account,TRUE,Assign a permit sticker: ¥ Rectangular = Power ¥ Circle = Passive,TRUE,Recieve Payment,TRUE,Email reciept,TRUE,Lagoon Handouts ¥ Rules and regulations ¥ Map of lagoon,TRUE,Record transaction on application and in Lagoon Permit Logs binder,TRUE,,,FALSE,FALSE,
Select all items required for a passive annual permit:,MULTICHOICE,Application Filled out by patron,TRUE,Current DMV registration,FALSE,Photo-copy of vessel registration,FALSE,CarlsbadConnect Account,TRUE,Assign a permit sticker: ¥ Rectangular = Power ¥ Circle = Passive,TRUE,Recieve Payment,TRUE,Email reciept,TRUE,Lagoon Handouts ¥ Rules and regulations ¥ Map of lagoon,TRUE,Record transaction on application and in Lagoon Permit Logs binder,TRUE,,,FALSE,FALSE,
Daily Permits are non-refundable and non-transferable,MULTICHOICE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,
